terrainID,position,direction,average_power
aa0a,4,1,219.0388
aa0a,4,2,202.5178
aa0a,4,3,182.3157
aa0a,4,4,134.446
aa0a,4,5,91.66474
aa0a,4,6,59.50309
aa0a,4,7,32.97331
aa0a,4,8,7.503174
aa0a,4,9,50.54832
aa0a,4,10,8.788469
aa0a,4,11,30.68731
aa0a,4,12,95.83231
aa0a,4,13,189.569
aa0a,4,14,106.1812
aa0a,4,15,137.1175
aa0a,4,16,167.5679
aa0a,4,17,171.6027
aa0a,4,18,205.8763
aa0a,4,19,186.4372
aa0a,4,20,171.5889
aa0a,4,21,141.4574
aa0a,4,22,114.6483
aa0a,4,23,69.00603
aa0a,4,24,37.82533
aa0a,4,25,20.7359
aa0a,4,26,75.78963
aa0a,4,27,21.3668
aa0a,4,28,12.30998
aa0a,4,29,51.06479
aa0a,4,30,123.0245
aa0a,4,31,80.19257
aa0a,4,32,119.203
aa0a,4,33,157.2571
aa0a,4,34,172.1624
aa0a,4,35,173.7509
aa0b,0,0,162.6273
aa0b,0,1,190.384
aa0b,0,2,207.6617
aa0b,0,3,205.5823
aa0b,0,4,124.521
aa0b,0,5,84.21398
aa0b,0,6,49.41981
aa0b,1,0,163.1041
aa0b,1,1,131.72
aa0b,1,2,95.82794
aa0b,1,3,55.91623
aa0b,1,4,187.196
aa0b,1,5,202.7178
aa0b,1,6,200.172
aa0b,2,0,144.9289
aa0b,2,1,114.9068
aa0b,2,2,78.75467
aa0b,2,3,44.1516
aa0b,2,4,275.5129
aa0b,2,5,188.1337
aa0b,2,6,196.0692
aa0b,3,0,157.9469
aa0b,3,1,195.0188
aa0b,3,2,225.9295
aa0b,3,3,242.3884
aa0b,3,4,120.8302
aa0b,3,5,83.59428
aa0b,3,6,55.82875
aa0b,4,0,208.2593
aa0b,4,1,195.3825
aa0b,4,2,182.0948
aa0b,4,3,150.7269
aa0b,4,4,121.4297
aa0b,4,5,82.53539
aa0b,4,6,50.93198
aa0b,4,7,23.99164
aa0b,4,8,99.07393
aa0b,4,9,29.68626
aa0b,4,10,6.909795
aa0b,4,11,38.19135
aa0b,4,12,118.2919
aa0b,4,13,86.09816
aa0b,4,14,122.2392
aa0b,4,15,148.7269
aa0b,4,16,177.023
aa0b,4,17,180.5334
aa0b,4,18,199.4677
aa0b,4,19,191.7043
aa0b,4,20,165.8977
aa0b,4,21,130.3587
aa0b,4,22,94.54969
aa0b,4,23,61.38401
aa0b,4,24,30.74622
